"text","created","url","latitude","longitude","retweetCount","hashtag"
"#Democrats possible ""President Elect"" LMAO <f0><9f><a4><aa> This is who they want running best country in the world (thanks 2 Trum<e2><80><a6> https://t.co/rNXMGfZn5G",2020-12-01 16:18:39,"https://twitter.com/BoudoirPro/status/1333807734651809805",NA,NA,0,"#trump2020"
"#Democrats possible ""President Elect"" LMAO <f0><9f><a4><aa> This is who they want running best country in the world (thanks 2 Trum<e2><80><a6> https://t.co/qt2YqNj8nc",2020-12-01 16:16:45,"https://twitter.com/ArtisticImages/status/1333807257017077763",NA,NA,1,"#trump2020"
"@RSBNetwork Looks like this hearing is pointless. The Michigan legislature walked into this hearing with their mind<e2><80><a6> https://t.co/AxNg2ijA85",2020-12-01 16:16:12,"https://twitter.com/davis_ryne/status/1333807116788899842",NA,NA,0,"#trump2020"
"@LaggingPing You are a fan of trump YEE HAW THE BIBLE SAVES US ALL #trump2020 #susansball",2020-12-01 16:16:05,"https://twitter.com/cartwheeldylan/status/1333807086560567297",NA,NA,0,"#trump2020"
"@PressSec @realDonaldTrump Great job Mr. President. #Trump2020",2020-12-01 16:15:55,"https://twitter.com/pinter13ested/status/1333807044638371841",NA,NA,0,"#trump2020"
"#Trump2020 Looks like the state legislature (D) have closed minds on the electronic voting. It has been said that s<e2><80><a6> https://t.co/ZmQTqxWgae",2020-12-01 16:15:41,"https://twitter.com/Y223636/status/1333806988627750914",NA,NA,0,"#trump2020"
"@POTUS @realDonaldTrump @TrumpWarRoom @EricTrump @DonaldJTrumpJr @FLOTUS @IvankaTrump @LaraLeaTrump @TrumpWarRoom<e2><80><a6> https://t.co/Z395qyiTEn",2020-12-01 16:15:22,"https://twitter.com/miccey7373/status/1333806908885626881",NA,NA,0,"#trump2020"
"Senator Irwin think because some fake story she made up about shopping in Marshall<e2><80><98>s and 1 persons signature was ch<e2><80><a6> https://t.co/OZNvPWHYW6",2020-12-01 16:15:02,"https://twitter.com/DaveSmartypants/status/1333806825104437250",NA,NA,0,"#trump2020"
"@Twitter if I want to follow killary osamaobama sleepy joe or any of the other treasonous <e2><80><9c>people<e2><80><9d> trying to turn o<e2><80><a6> https://t.co/reE6BxdG8B",2020-12-01 16:14:29,"https://twitter.com/Leona61791220/status/1333806684351967238",NA,NA,0,"#trump2020"
"If you ain<e2><80><99>t white you ain<e2><80><99>t right<f0><9f><98><8e> #life #pain #trump2020 #legalizeslavery",2020-12-01 16:14:27,"https://twitter.com/hebegbes/status/1333806677150339073",NA,NA,0,"#trump2020"
"I follow back all Trump patriots.
<f0><9f><92><af>%. <f0><9f><87><ba><f0><9f><87><b8><f0><9f><91><8a><f0><9f><8f><bb><f0><9f><87><ba><f0><9f><87><b8>

RETWEET, UNITE &amp; REBUILD 

#MAGA #MAGA2020 #KAG2020 #KAG #Trump2020<e2><80><a6> https://t.co/EYex3xpPkq",2020-12-01 16:13:08,"https://twitter.com/Chris11962/status/1333806347641565186",NA,NA,12,"#trump2020"
